Band,Age,year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Include in analysis
162-64538,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64539,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64540,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64541,P,2011,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,TRUE
162-64542,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64543,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64544,P,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
162-64545,P,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,TRUE
162-64546,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64547,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64548,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64549,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64579,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64580,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64581,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64582,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64583,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64584,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64586,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64587,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
162-64588,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64589,P,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64590,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64591,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64592,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64593,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64594,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64595,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64596,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64597,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-64598,P,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79104,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79105,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79106,P,2012,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
162-79107,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79108,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79109,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79110,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79111,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79112,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79113,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
162-79114,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79115,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79116,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79117,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79118,P,2012,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,TRUE
162-79119,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79120,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79121,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79122,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79123,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79124,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79125,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79126,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79127,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79128,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79129,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79130,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79131,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79132,P,2012,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,TRUE
162-79133,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79134,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79135,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79136,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79137,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79138,P,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79801,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79802,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79803,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79804,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79805,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79806,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79807,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79808,A,2013,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,TRUE
162-79809,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79810,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79811,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79812,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79813,A,2013,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,TRUE
162-79814,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79815,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79816,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79817,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79818,A,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
162-79851,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79852,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79853,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79854,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79855,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79856,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79857,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79858,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79859,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79860,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79861,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79862,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79863,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79864,P,2013,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TRUE
162-79865,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79866,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79867,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79868,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79869,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79870,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79871,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79872,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79873,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79874,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79875,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
162-79876,P,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
