Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-64579,1,,,,,,,,,,,,,,,
P,162-64580,1,,,,,,,,,,,,,,,
P,162-64581,1,,,,,,,,,,,,,,,
P,162-64582,1,,,,,,,,,,,,,,,
P,162-64583,1,,,,,,,,,,,,,,,
P,162-64584,1,,,,,,,,,,,,,,,
P,162-64586,1,,,,,,,,,,,,,,,
P,162-64587,1,,,,,,,,,,,,,,,
P,162-64588,1,,,,,,,,,,,,,,,
P,162-64589,1,,,,,,,,,,,,,,,
P,162-64594,,1,,,,,,,,,,,,,,
P,162-64595,,1,,,,,,,,,,,,,,
P,162-64596,,1,,,,,,,,,,,,,,
P,162-64597,,1,,,,,,,,,,,,,,
P,162-64598,,1,,,,,,,,,,,,,,
P,162-79104,,,1,,,,,,,,,,,,,
P,162-79105,,,1,,,,,,,,,,,,,
P,162-79106,,,1,,,,,,,,,,,,,
P,162-79107,,,1,,,,,,,,,,,,,
P,162-79108,,,1,,,,,,,,,,,,,
P,162-79109,,,1,,,,,,,,,,,,,
P,162-79110,,,1,,,,,,,,,,,,,
P,162-79111,,,1,,,,,,,,,,,,,
P,162-79112,,,1,,,,,,,,,,,,,
P,162-79113,,,1,,,,,,,,,,,,,
P,162-79124,,,1,,,,,,,,,,,,,
P,162-79125,,,1,,,,,,,,,,,,,
P,162-79126,,,1,,,,,,,,,,,,,
P,162-79127,,,1,,,,,,,,,,,,,
P,162-79128,,,1,,,,,,,,,,,,,
P,162-79129,,,1,,,,,,,,,,,,,
P,162-79130,,,1,,,,,,,,,,,,,
P,162-79131,,,1,,,,,,,,,,,,,
P,162-79132,,,1,,,,,,,,,1,,,,
P,162-79133,,,1,,,,,,,,,,,,,
P,162-79134,,,1,,,,,,,,,,,,,
P,162-79135,,,1,,,,,,,,,,,,,
P,162-79136,,,1,,,,,,,,,,,,,
P,162-79137,,,1,,,,,,,,,,,,,
P,162-79138,,,1,,,,,,,,,,,,,
1+,162-79801,,,,,1,,,,,,,,,,,
1+,162-79802,,,,,1,,1,,,,,,,,,
1+,162-79803,,,,,1,,,,,,,,,,,
1+,162-79804,,,,,1,,,,,,,,,,,
1+,162-79805,,,,,1,,1,,,,,,,,,
1+,162-79806,,,,,1,,,,,,,,,,,
1+,162-79807,,,,,1,,1,,,,,,,,,
1+,162-79808,,,,,1,,1,,,,,1,1,,,
1+,162-79809,,,,,1,,1,,,,,,,,,
1+,162-79810,,,,,1,,1,,,,,,,,,
1+,162-79811,,,,,1,,,,,,,,,,,
1+,162-79812,,,,,1,,,,,,,,,,,
1+,162-79813,,,,,1,,,,,,,,,,,
1+,162-79814,,,,,1,,,,,,,,,,,
1+,162-79815,,,,,1,,,,,,,,,,,
1+,162-79816,,,,,1,,,,1,,,,,,,
1+,162-79817,,,,,1,,1,,,,,,,,,
1+,162-79818,,,,,1,,,,,,,,,,,
P,162-79851,,,,1,,,,,,,,,,,,
P,162-79852,,,,1,,,,,,,,,,,,
P,162-79853,,,,1,,,,,,,,,,,,
P,162-79854,,,,1,,,,,,,,,,,,
P,162-79855,,,,1,,,,,,,,,,,,
P,162-79856,,,,1,,,,,,,,,,,,
P,162-79857,,,,1,,,,,,,,,,,,
P,162-79858,,,,1,,,,,,,,,,,,
P,162-79859,,,,1,,,,,,,,,,,,
P,162-79860,,,,1,,,,,,,,,,,,
P,162-79861,,,,1,,,,,,,,,,,,
P,162-79862,,,,1,,,,,,,,,,,,
P,162-79863,,,,1,,,,,,,,,,,,
P,162-79864,,,,1,,,,,,,,,1,,,
P,162-79865,,,,1,,,,,,,,,,,,
P,162-79866,,,,1,,,,,,,,,,,,
P,162-79867,,,,1,,,,,,,,,,,,
P,162-79868,,,,1,,,,,,,,,,,,
P,162-79869,,,,1,,,,,,,,,,,,
P,162-79870,,,,1,,,,,,,,,,,,
P,162-79871,,,,1,,,,,,,,,,,,
P,162-79872,,,,1,,,,,,,,,,,,
P,162-79873,,,,1,,,,,,,,,,,,
P,162-79874,,,,1,,,,,,,,,,,,
P,162-79875,,,,1,,,,,,,,,,,,
P,162-79876,,,,1,,,,,,,,,,,,
P,162-79877,,,,1,,,,,,,,,,,,
P,162-79878,,,,1,,,,,,,,,,,,
P,162-79879,,,,1,,,,,,,,,,,,
P,162-79880,,,,1,,,,,,,,,,,,
1+,162-79881,,,,,1,,,,,,,,,,,
1+,162-79882,,,,,1,,,,,,,1,1,,,
1+,162-79883,,,,,1,,,,,,,,,,,
1+,162-79884,,,,,1,,,,,,,,,,,
1+,162-79885,,,,,1,,1,,,,,,,,,
1+,162-79886,,,,,1,,,,1,,,,,,,
1+,162-79887,,,,,1,,,,,,,,,,,
1+,162-79888,,,,,1,,,,,,,,,,,
1+,162-79889,,,,,1,,,,,,,,,,,
1+,162-79890,,,,,1,,1,,,,,,,,,
1+,162-79891,,,,,1,,1,,,,,,,,,
1+,162-79892,,,,,1,,,,,,,,,,,
1+,162-79893,,,,,1,,,,,,,1,,,,
1+,162-79894,,,,,1,,,,,,,,,,,
1+,162-79895,,,,,1,,,,,,,,,,,
1+,162-79896,,,,,1,,,,,,,,,,,
1+,162-79897,,,,,1,,,,,,,,,,,
1+,162-79898,,,,,1,,1,,,,,,1,,,
1+,162-79899,,,,,1,,,,,,,,,,,
1+,162-79900,,,,,1,,,,,,,,,,,
P,162-83004,,,,,1,,,,,,,,,,,
P,162-83005,,,,,1,,,,,,,,,,,
P,162-83006,,,,,1,,,,,,,,,,,
P,162-83007,,,,,1,,,,,,,,,,,
P,162-83008,,,,,1,,,,,,,,,,,
P,162-83009,,,,,1,,,,,,,,,,,
P,162-83010,,,,,1,,,,,,,,,,,
P,162-83011,,,,,1,,,,,,,,,,,
P,162-83012,,,,,1,,,,,,,,,,,
P,162-83013,,,,,1,,,,,,,,,,,
P,162-83014,,,,,1,,,,,,,,,,,
P,162-83015,,,,,1,,,,,,,,,,,
P,162-83016,,,,,1,,,,,,,,,,,
P,162-83017,,,,,1,,,,,,,,,,,
P,162-83018,,,,,1,,,,,,,,,,,
P,162-83019,,,,,1,,,,,,,,,,,
P,162-83020,,,,,1,,,,,,,,,,,
P,162-83021,,,,,1,,,,,,,,,,,
P,162-83022,,,,,1,,,,,,,,,,,
P,162-83023,,,,,1,,,,,,,,,,,
P,162-83024,,,,,1,,,,,,,,,,,
P,162-83025,,,,,1,,,,,,,,,,,
P,162-83026,,,,,1,,,,1,,,,,,,
P,162-83027,,,,,1,,1,,,,,,,,,
P,162-83028,,,,,1,,,,,,,,,,,
P,162-83029,,,,,1,,,,,,,,,,,
P,162-83030,,,,,1,,,,,,,,,,,
P,162-83031,,,,,1,,,,1,,,,,,,
P,162-83032,,,,,1,,,,,,,,,,,
P,162-83033,,,,,1,,,,,,,,,,,
