source,https://www.data.jma.go.jp/kaiyou/english/long_term_sst_japan/sea_surface_temperature_around_japan.html,,,,
year,area_E1_summer,area_E2_summer,area_E3_summer,area_N2_summer,area_N3_summer
2009,-1.5,-1.63,-0.66,-1.56,-1.34
2010,1.49,2.02,0.72,2.3,1.05
2011,0.93,1.2,0.3,0.13,0.45
2012,0.88,1.05,1.34,1.02,0.97
2013,1.53,0.69,0.28,0.56,0.54
2014,1.17,0.13,-0.4,0.42,-0.21
2015,1.9,0.16,0.72,-0.49,-0.95
2016,2.29,1.27,1.35,0.7,0.67
2017,0.48,0.08,0.1,0.93,0.49
2018,0.05,0.17,0.99,0.12,0.98
2019,1.45,0.62,0.66,0.42,0.41
2020,1.29,0.19,1.07,-0.44,-0.67
2021,0.3,0.56,1.23,1.29,1.18
2022,3.55,1.72,1.07,1.26,0.97
2023,3.85,4.5,2.28,2.14,1.87
2024,3.53,3.09,2.41,2.25,2.11
